revoir;terrain;tennis;mondial;rapide;double;solo;terre;ciment;gazon;herbe;filet;raquette;balle;grip;smash;service;volee;spin;slice;ace;lift;jeu;set;atp1000;wimbledon;garros;us;australia ;nadal;federer;djokovic;murray;guga;chelem
tournoi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histoire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
champion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
medailles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trophe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
titre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
regles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
match;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
classement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
taille;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
terre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ciment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
herbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
raquette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
balle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
slice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lift;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jeu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
atp1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wimbledon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
garros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
us;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nadal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
federer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
djokovic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
murray;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chelem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
