,Y a-t-il du rouge dans le drapeau du pays ?,Y a-t-il du bleu dans le drapeau du pays ?,Votre pays a-t-il une ouverture vers la mer/ocean?,Votre pays est-il une des 10 premieres puissances economiques mondiales?,Votre pays est un des fondateurs de l'UE? ,La capitale de votre pays se situe-t-elle sur le littoral?,Votre pays est-il une monarchie constitutionnelle?,Votre pays  a-t-il fait parti du bloc sovietique?,Votre pays fait-il parti de l'Espace Schengen ?,Votre pays a-t-il comme monnaie officielle l'euro?,Votre pays a-t-il addhere a l'UE apres 2000 ?,L'allemand est-il une langue officielle de votre pays?,Votre pays a-t-il deja gagne une coupe du monde de foot?,Votre pays est-il un membre permanent du conseil de securite de l'ONU?,Votre pays est-il orthodoxe?,La Tour Eiffel est-elle un monument de votre pays?,Votre pays est-il scandinave ? ,La tour de pise est-elle un monument de votre pays? ,Mange-t-on beaucoup de saucisses et boit on de la biere dans le pays?,Est ce que la capitale de votre pays est Riga ?,Pays possible
L'Allemagne,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
L'Autriche,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
La Belgique,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
La Bulgarie,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
Chypre,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
La Croatie,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Le Danemark,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
L'Espagne,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
L'Estonie,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
La Finlande,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
La France,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
La Grece,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
La Hongrie,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
L'Irlande,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
L'Italie,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
La Lettonie,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
La Lituanie,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Le Luxembourg,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Malte,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Les Pays-bas,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
La Pologne,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Le Portugal,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
La Republique Tcheque,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
La Roumanie,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
Le Royaume Uni,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
La Slovaquie,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
La Slovenie,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
La Suede,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Liste Noire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
